OBJECTID,STATEFP,STATENS,AFFGEOID,GEOID,STUSPS,NAME,LSAD,ALAND,AWATER,POP_DENSITY,B25010_001E,B25010_001M,B11007_003E,B11007_003M,POP65PCT_CALC,POP65PCTM_CALC,DP04_0058E,DP04_0058M,DP04_0058PE,DP04_0058PM,B25044_003E,B25044_003M,B25044_010E,B25044_010M,B25044_004E,B25044_004M,B25044_011E,B25044_011M,DP04_0059E,DP04_0059M,B25044_005E,B25044_005M,B25044_012E,B25044_012M,DP04_0060E,DP04_0060M,B25044_006E,B25044_006M,B25044_013E,B25044_013M,HOUSE3VEHICLE_CALC,HOUSE3VEHICLE_CALCM,B25044_007E,B25044_007M,B25044_014E,B25044_014M,HOUSE4VEHICLE_CALC,HOUSE4VEHICLE_CALCM,B25044_008E,B25044_008M,B25044_015E,B25044_015M,HOUSE5VEHICLE_CALC,HOUSE5VEHICLE_CALCM,DP02_0001E,DP02_0001M,DP02_0007E,DP02_0007M,DP02_0011E,DP02_0011M,DP02_0004E,DP02_0004M,DP02_0015E,DP02_0015M,DP02_0007PM,DP02_0011PM,DP02_0007PE,DP02_0011PE,SHAPE_Length,SHAPE_Area
29,32,01779793,0400000US32,32,NV,Nevada,00,284537049864,1839662829,10.4463794835179,2.67,0,111163,2025,10.1,0.2,80738,1885,7.3,0.2,13459,757,67279,1881,170551,2239,217196,2547,387747,3148,258945,3111,144361,2463,403306,3247,116425,2133,38261,1421,154686,2563,41713,1349,9205,753,50918,1545,17512,918,3695,401,21207,1002,1098602,3380,17979,950,58830,1605,83744,1856,320145,1673,0.1,0.1,1.6,5.4,23.8186892377616,29.939668521755
30,33,01779794,0400000US33,33,NH,New Hampshire,00,23189198255,1026903434,58.1358607216755,2.46,0,58136,1583,10.9,0.3,27392,1129,5.1,0.2,6633,450,20759,1073,84064,1882,74090,1851,158154,2589,174644,2240,46855,1257,221499,2242,75036,1703,8852,597,83888,1805,26379,888,2250,309,28629,940,11422,706,1053,190,12475,731,532037,2311,6335,584,19136,937,42766,1372,162675,1164,0.1,0.2,1.2,3.6,9.52798255128175,2.68356660681959
31,34,01779795,0400000US34,34,NJ,New Jersey,00,19048848841,3543837357,466.091314709278,2.69,0,367210,3552,11.4,0.1,371186,4218,11.5,0.1,74692,1676,296494,4075,550692,4844,543023,5775,1093715,6509,902940,6933,262374,4060,1165314,7545,365318,3948,50348,1464,415666,4211,126670,2144,11622,746,138292,2270,43928,1196,3773,379,47701,1255,3231874,7167,33288,1413,165997,3049,176289,2756,994422,3107,0.1,0.1,1,5.1,8.69260338686502,2.13007637804955
32,35,00897535,0400000US35,35,NM,New Mexico,00,314197253999,727781442,6.65968264638831,2.63,0,96094,1882,12.3,0.2,44624,1216,5.7,0.2,14794,684,29830,1020,138218,2431,119425,2342,257643,2979,210403,2985,75608,1749,286011,3221,107297,1936,20238,1129,127535,2241,38548,1311,5472,492,44020,1400,18636,933,1780,313,20416,984,780249,3071,11816,795,46481,1584,55887,1807,248195,1346,0.1,0.2,1.5,6,23.6745254104304,30.8929171070669
33,36,01779796,0400000US36,36,NY,New York,00,122050000805,19246143659,160.363120613746,2.59,0,892053,7422,12.1,0.1,2134145,8208,29.1,0.1,378887,4280,1755258,7425,1242018,8608,1157860,8029,2399878,9894,1521474,11125,383212,4133,1904686,10566,563950,5368,67647,2001,631597,5729,184794,2630,15179,811,199973,2752,66679,1811,6276,563,72955,1896,7343234,14943,78134,2150,403905,3825,449961,4474,2261271,6897,0.1,0.1,1.1,5.5,30.8682343592076,14.0069685755464
34,37,01027616,0400000US37,37,NC,North Carolina,00,125925929633,13463401534,81.5151893650186,2.52,0,429611,4777,10.8,0.1,230276,3514,5.8,0.1,62285,1623,167991,2948,604838,5344,650179,5769,1255017,7279,1099275,8139,418550,5655,1517825,9120,545148,6535,106808,2594,651956,7031,195512,2832,27622,1586,223134,3246,78876,2016,8398,750,87274,2151,3965482,10327,47413,1754,232277,3797,231513,4399,1142659,4298,0.1,0.1,1.2,5.9,41.2633223579445,12.7821920156695
35,38,01779797,0400000US38,38,ND,North Dakota,00,178695635183,4411365971,4.23466974571066,2.3,0,34144,869,10.7,0.3,16057,881,5,0.3,2748,277,13309,785,36440,1045,56013,1521,92453,1696,86089,1694,36436,1517,122525,2168,44095,1088,9798,921,53893,1425,18328,957,2561,363,20889,1024,10782,526,1723,324,12505,618,318322,1899,4436,400,12039,778,22556,1238,77953,690,0.1,0.2,1.4,3.8,24.8454486126729,21.8397965654581
36,39,01085497,0400000US39,39,OH,Ohio,00,105823701267,10274036690,110.139759434351,2.43,0,559072,6666,12,0.1,371575,4189,7.9,0.1,91661,1653,279914,3974,783706,6565,767460,5466,1551166,6613,1344760,9152,414975,5377,1759735,8747,586675,5354,93346,2182,680021,5782,197217,3163,22325,1152,219542,3366,85027,1940,9292,742,94319,2077,4676358,10659,61019,1878,263760,3402,322910,3961,1371989,5014,0.1,0.1,1.3,5.6,17.9352577576507,11.3199127250773
37,40,01102857,0400000US40,40,OK,Oklahoma,00,177662675149,3374950118,22.1367262240177,2.58,0,165221,2291,11.2,0.2,81438,1645,5.5,0.1,20942,689,60496,1493,237426,2216,239915,2533,477341,2920,419679,3059,155763,2253,575442,3575,197122,2098,39052,1227,236174,2430,66521,1492,10531,654,77052,1629,29432,711,3182,341,32614,789,1480061,2803,24417,894,84741,1686,86062,1761,422302,1516,0.1,0.1,1.6,5.7,27.2111117398706,18.0050010438956
38,41,01155107,0400000US41,41,OR,Oregon,00,248607777514,6191602576,16.6117208451672,2.51,0,187179,2717,11.6,0.2,119945,2390,7.4,0.2,23536,1088,96409,2304,240200,2862,263851,3919,504051,4673,430792,4140,177642,2612,608434,4774,203831,2862,48536,1728,252367,3343,70482,2071,13611,913,84093,2263,37055,1137,6037,569,43092,1271,1611982,3890,20590,1135,65575,1918,128987,2368,499228,1910,0.1,0.1,1.3,4.1,25.9604801544946,28.1784543179937
